ɑ,η = 1.0000,η = 0.9995,η = 0.9950,η = 0.9900,η = 0.9800,η = 0.9500,Average,Pos Error,Neg Error
0.01,0.00000,0.01604,0.34671,0.82103,0.99821,,0.54550,0.45271,0.52946
0.05,0.00000,0.00293,0.03435,0.08541,0.23745,0.81241,0.23451,0.57790,0.23158
0.1,0.00000,0.00095,0.01265,0.03031,0.07723,0.31627,0.08748,0.22879,0.08653
0.2,0.00000,0.00028,0.00382,0.00890,0.02137,0.08558,0.02399,0.06159,0.02371
0.5,0.00000,-0.00013,-0.00122,-0.00219,-0.00353,-0.00362,-0.00214,0.00201,0.00148
0.524,0.00000,-0.00014,-0.00142,-0.00268,-0.00453,-0.00601,-0.00296,0.00281,0.00306
0.785,0.00000,-0.00019,-0.00272,-0.00536,-0.01049,-0.02345,-0.00844,0.00825,0.01501
1.571,0.00000,-0.00015,-0.00057,-0.00157,-0.00355,-0.01070,-0.00331,0.00316,0.00739
